card_identifier;name;rarity;magic_ink_colors;got_normal;got_foil
1;ARIEL;"Peu commune";Ambre;16;1
2;ARIEL;"Super rare";Ambre;5;1
3;CENDRILLON;"Peu commune";Ambre;21;0
4;DINGO;"Peu commune";Ambre;20;1
5;HADÈS;Rare;Ambre;8;1
6;HADÈS;Rare;Ambre;8;0
7;HEIHEI;Commune;Ambre;31;1
8;"LE FOU";"Peu commune";Ambre;16;1
9;LILO;Rare;Ambre;0;0
10;MAXIMUS;"Super rare";Ambre;5;0
11;MAXIMUS;"Peu commune";Ambre;19;2
12;"MICKEY MOUSE";"Peu commune";Ambre;22;0
13;MINNIE;Commune;Ambre;30;1
14;VAIANA;Rare;Ambre;9;0
15;"MONSIEUR MOUCHE";Commune;Ambre;27;3
16;"PRINCE PHILIPPE";"Peu commune";Ambre;9;2
17;PUMBAA;Commune;Ambre;28;1
18;RAIPONCE;Légendaire;Ambre;2;0
19;SÉBASTIEN;Commune;Ambre;24;2
20;SIMBA;Commune;Ambre;18;1
21;STITCH;Légendaire;Ambre;0;0
22;STITCH;Commune;Ambre;23;3
23;STITCH;"Super rare";Ambre;3;0
24;TIMON;Commune;Ambre;24;2
25;"C'EST LA FÊTE";"Peu commune";Ambre;12;1
26;"TRÈS MAUVAIS CARACTÈRE !";Commune;Ambre;28;1
27;"HAKUNA MATATA";Commune;Ambre;24;2
28;"LUEUR RÉPARATRICE";Commune;Ambre;24;1
29;"JUSTE À TEMPS";Rare;Ambre;6;0
30;"PARTIR LÀ-BAS";Rare;Ambre;8;0
31;"TU M'AS OUBLIÉ";"Peu commune";Ambre;20;1
32;ZIRGOUFLEX;Commune;Ambre;30;2
33;LANTERNE;Rare;Ambre;7;0
34;"PENDENTIF EN COQUILLAGE D'URSULA";Rare;Ambre;8;0
35;ANNA;"Peu commune";Améthyste;13;0
36;ARCHIMÈDE;Commune;Améthyste;25;2
37;"DR. FACILIER";Rare;Améthyste;8;0
38;"DR. FACILIER";Commune;Améthyste;27;1
39;"DR. FACILIER";Rare;Améthyste;9;1
40;ELSA;Commune;Améthyste;26;1
41;ELSA;"Peu commune";Améthyste;18;0
42;ELSA;Légendaire;Améthyste;0;0
43;FLOTSAM;Rare;Améthyste;10;0
44;JAFAR;Rare;Améthyste;7;0
45;JAFAR;Commune;Améthyste;28;2
46;JETSAM;Commune;Améthyste;26;1
47;"BALAIS MAGIQUES";Commune;Améthyste;25;1
48;MALÉFIQUE;Rare;Améthyste;0;0
49;MALÉFIQUE;Commune;Améthyste;23;1
50;GUIMAUVE;"Super rare";Améthyste;6;0
51;"MICKEY MOUSE";"Super rare";Améthyste;7;0
52;OLAF;"Peu commune";Améthyste;22;1
53;PASCAL;"Peu commune";Améthyste;11;2
54;RAFIKI;"Peu commune";Améthyste;21;2
55;SVEN;"Peu commune";Améthyste;17;1
56;"LA REINE";"Super rare";Améthyste;5;1
57;"MADAME DE GARDEROBE";Commune;Améthyste;27;1
58;"LA FÉE CLOCHETTE";Commune;Améthyste;23;4
