card_identifier;name;rarity;magic_ink_colors;got_normal;got_foil
1;Baloo;Rare;Ambre;6;1
2;Gaston;"Peu commune";Ambre;10;0
3;Raiponce;Légendaire;Ambre;0;0
4;"Le destrier sans tête";Commune;Ambre;15;2
5;Higgins;Commune;Ambre;13;2
6;Rajah;Commune;Ambre;17;2
7;Eilonwy;Commune;Ambre;15;1
8;"Balthazar Picsou";"Peu commune";Ambre;9;1
9;Zaza;"Peu commune";Ambre;10;0
10;Gurgi;Commune;Ambre;14;0
11;"Mamie Baba";Commune;Ambre;16;0
12;Bagheera;"Peu commune";Ambre;12;2
13;Shanti;Commune;Ambre;16;2
14;Flash;Commune;Ambre;15;0
15;Taram;"Peu commune";Ambre;9;1
16;Sébastien;Rare;Ambre;5;0
17;Ariel;Rare;Ambre;4;0
18;"Balthazar Picsou";Rare;Ambre;6;0
19;Mowgli;"Super rare";Ambre;1;0
20;Simba;"Super rare";Ambre;5;0
21;Dingo;Commune;Ambre;15;1
22;"Della Duck";Commune;Ambre;15;2
23;"Mickey Mouse";Rare;Ambre;1;0
24;Dingo;"Super rare";Ambre;5;0
25;Gazelle;Rare;Ambre;6;0
26;"Rechercher des indices";"Peu commune";Ambre;11;1
27;"Nous entrerons dans la bande";"Peu commune";Ambre;8;0
28;"Berceuse de la Lune de Della";Commune;Ambre;16;2
29;"Le Cavalier attaque !";Rare;Ambre;5;0
30;"Page retrouvée";"Peu commune";Ambre;11;1
31;"Le journal de Zaza";"Peu commune";Ambre;11;1
32;"Le Chaudron magique";Légendaire;Ambre;0;0
33;"Mâchouiller et crachouiller";Commune;Ambre;14;2
34;Canardville;Rare;Ambre;4;0
35;Minnie;Rare;Améthyste;4;0
36;"Le Seigneur des Ténèbres";"Super rare";Améthyste;6;0
37;Vouivre;"Peu commune";Améthyste;8;0
38;"Le Seigneur des Ténèbres";Commune;Améthyste;17;2
39;"Soldats ressuscités";Commune;Améthyste;14;1
40;Démona;Commune;Améthyste;14;0
41;"Miss Tick";Commune;Améthyste;14;0
42;"Lena de Sortilège";Commune;Améthyste;16;2
43;Iago;"Peu commune";Améthyste;11;0
44;"Violette Campyloptère";Commune;Améthyste;16;3
45;Elsa;Commune;Améthyste;13;1
46;Mushu;Commune;Améthyste;16;2
47;Arsène;"Peu commune";Améthyste;9;0
48;"Bon Zigue";"Peu commune";Améthyste;9;1
49;"Le Seigneur des Ténèbres";Rare;Améthyste;5;0
50;Crapaud;Rare;Améthyste;5;0
51;Coldstone;Rare;Améthyste;5;2
52;"Miss Tick";Rare;Améthyste;5;0
53;Nana;"Peu commune";Améthyste;11;0
54;"Miss Tick";"Super rare";Améthyste;6;0
55;Démona;Légendaire;Améthyste;1;0
56;Hadès;Légendaire;Améthyste;1;0
57;Olaf;"Peu commune";Améthyste;9;0
58;Merlin;"Peu commune";Améthyste;9;0
59;Ursula;Rare;Améthyste;2;0
60;"Chat du Cheshire";"Super rare";Améthyste;3;0
61;"Ouste !";Commune;Améthyste;15;2
62;"Je ne mentirai plus jamais";Rare;Améthyste;2;0
63;"Attaque en piqué";Commune;Améthyste;16;0
64;"Bilan de performance";"Peu commune";Améthyste;12;0
65;"Aussi fragile qu’une fleur";Commune;Améthyste;14;0
66;"Le Manuel des Castors Juniors";Commune;Améthyste;15;0
67;"Grimorum Arcanorum";Rare;Améthyste;5;0
68;"Le grand Illuminarium";"Peu commune";Améthyste;10;1
69;Baloo;Commune;Émeraude;16;2
70;L’amoureux;Commune;Émeraude;16;2
71;Flotsam;Commune;Émeraude;13;2
72;Kaa;Commune;Émeraude;16;0
73;Zaza;Commune;Émeraude;14;1
74;Finnick;Commune;Émeraude;14;0
75;Vladimir;Commune;Émeraude;15;0
76;"Archibald Gripsou";"Peu commune";Émeraude;10;0
77;Jetsam;Commune;Émeraude;16;2
78;"La Main Froide";"Peu commune";Émeraude;9;0
79;Kaa;"Peu commune";Émeraude;10;0
80;"Émilie Frappe";"Peu commune";Émeraude;12;1
81;"Flynn Rider";"Peu commune";Émeraude;5;0
82;Bellwether;"Peu commune";Émeraude;10;2
83;"Flagada Jones";Commune;Émeraude;16;2
84;Pénombre;Rare;Émeraude;5;1
85;Baloo;Rare;Émeraude;6;0
86;Mégara;Rare;Émeraude;4;0
87;"Goldie O'Gilt";Rare;Émeraude;4;0
88;"Shere Khan";Légendaire;Émeraude;2;0
89;"Balthazar Picsou";"Super rare";Émeraude;5;0
90;Akela;Commune;Émeraude;15;0
91;Dingo;Rare;Émeraude;5;0
92;"Petit Jean";"Super rare";Émeraude;5;1
93;Zaza;Légendaire;Émeraude;0;0
94;"Alors tant pis !";Commune;Émeraude;16;2
95;"Aie confiance";Rare;Émeraude;4;0
96;Croque !;Commune;Émeraude;14;2
97;"Malin, méchant, vilain";"Peu commune";Émeraude;7;1
98;"Potion de malice";"Super rare";Émeraude;5;0
99;"Carte indéchiffrable";"Peu commune";Émeraude;9;2
100;"Invocateur d’encre mystérieux";Rare;Émeraude;5;0
101;"Cornemuse bénie";"Peu commune";Émeraude;10;1
102;"Plaines de l’Agonie Blanche";Rare;Émeraude;5;0
103;Diablo;Rare;Rubis;6;0
104;Arès;"Peu commune";Rubis;10;1
105;"Peter Pan";Commune;Rubis;17;1
106;"La Fée Clochette";Commune;Rubis;14;1
107;Raksha;Commune;Rubis;13;1
108;"Shere Khan";Commune;Rubis;14;0
109;Rama;Commune;Rubis;15;2
110;"Mère Gothel";Commune;Rubis;16;2
111;"Katrina Van Tassel";"Peu commune";Rubis;8;0
112;Hermès;Commune;Rubis;15;1
113;"La Bête";"Peu commune";Rubis;9;0
114;Bronx;Commune;Rubis;16;2
115;"La Fée Clochette";"Peu commune";Rubis;9;0
116;"David Xanatos";"Super rare";Rubis;4;0
117;Hans;"Super rare";Rubis;5;0
118;Hercule;Légendaire;Rubis;2;0
119;Goliath;"Peu commune";Rubis;11;0
120;Brooklyn;Commune;Rubis;16;1
121;Donald;Rare;Rubis;5;0
122;"Elisa Maza";Rare;Rubis;6;0
123;Aladdin;Rare;Rubis;6;0
124;"Madame de Trémaine";"Super rare";Rubis;4;0
125;"Le Cavalier sans tête";Légendaire;Rubis;0;1
126;Mulan;"Peu commune";Rubis;7;0
127;"Brom Bones";Commune;Rubis;15;0
128;"Shere Khan";Rare;Rubis;6;0
129;"Prochaine étape, l’Olympe !";Rare;Rubis;6;0
130;"Vite, à l'abri !";Rare;Rubis;6;0
131;"Il est temps de partir !";"Peu commune";Rubis;9;0
132;"Histoire de fantôme";Commune;Rubis;16;1
133;"Feu du Dragon";Commune;Rubis;14;2
134;"Fusée de Mushu";"Peu commune";Rubis;9;2
135;"Le Bois-Amer";Rare;Rubis;4;0
136;"Sleepy Hollow";"Peu commune";Rubis;12;1
137;"Judy Hopps";"Peu commune";Saphir;11;0
138;Tirelire;Commune;Saphir;14;0
