card_identifier;name;rarity;magic_ink_colors;got_normal;got_foil
1;"Poussinette Colvert";Commune;Ambre;15;1
2;"Jack le Costaud";Commune;Ambre;14;0
3;Woody;Commune;Ambre;15;0
4;Tac;Commune;Ambre;15;1
5;"Pedro Madrigal";"Peu commune";Ambre;10;0
6;"Agustín Madrigal";Commune;Ambre;15;0
7;"Adam de la Halle";Commune;Ambre;14;1
8;"Prince Eric";Commune;Ambre;14;0
9;"Dolores Madrigal";Commune;Ambre;15;2
10;Rex;Rare;Ambre;0;0
11;Bayonne;"Peu commune";Ambre;11;0
12;"Jack le Costaud";Rare;Ambre;5;1
13;"Bo, la bergère";"Peu commune";Ambre;9;1
14;Tic;"Peu commune";Ambre;8;0
15;Woody;Légendaire;Ambre;1;0
16;"Isabela Madrigal";"Peu commune";Ambre;8;0
17;Pile-Poil;Commune;Ambre;12;0
18;Ariel;Rare;Ambre;3;0
19;"Isabela Madrigal";Rare;Ambre;4;0
20;Jessie;"Super rare";Ambre;0;0
21;Woody;"Peu commune";Ambre;9;0
22;Tac;Légendaire;Ambre;0;0
23;"Le Prince";Rare;Ambre;6;0
24;"Julieta Madrigal";Commune;Ambre;15;2
25;Pluto;"Peu commune";Ambre;9;0
26;"Mickey Mouse";"Super rare";Ambre;0;0
27;Tic;Commune;Ambre;15;1
28;"Les rangers font équipe";"Peu commune";Ambre;10;0
29;"L’énorme pression";Commune;Ambre;14;0
30;"Je suis ton ami";"Super rare";Ambre;0;1
31;Métamorphose;Rare;Ambre;4;0
32;"Criez au secours et ils rappliquent";Rare;Ambre;4;1
33;"Corde de sécurité";"Peu commune";Ambre;11;1
34;"Chambre d'Andy";Rare;Ambre;4;0
35;Mor'du;Commune;Améthyste;15;0
36;"Alma Madrigal";"Peu commune";Améthyste;9;0
37;Blanche-Neige;Légendaire;Améthyste;3;0
38;Simplet;"Peu commune";Améthyste;10;0
39;Timide;Commune;Améthyste;15;1
40;Prof;"Peu commune";Améthyste;10;0
41;Grincheux;Commune;Améthyste;15;0
42;Atchoum;Commune;Améthyste;14;0
43;Joyeux;Commune;Améthyste;15;0
44;Dormeur;Commune;Améthyste;14;1
45;"Alma Madrigal";Commune;Améthyste;14;2
46;Frozone;Commune;Améthyste;15;1
47;"Feux follets";Commune;Améthyste;14;0
48;"Violette Parr";"Peu commune";Améthyste;11;1
49;"Mme Indestructible";Rare;Améthyste;2;0
50;"Hamish, Hubert et Harris";"Peu commune";Améthyste;9;1
51;Elinor;"Peu commune";Améthyste;11;1
52;"Mickey Mouse";"Peu commune";Améthyste;10;1
53;Mirage;Commune;Améthyste;15;0
54;"Edna Mode";Rare;Améthyste;4;0
55;Maléfique;Rare;Améthyste;6;0
56;"Pepa Madrigal";"Super rare";Améthyste;4;0
57;Mor'du;"Super rare";Améthyste;5;1
58;"Alma Madrigal";Rare;Améthyste;5;1
59;Frozone;Rare;Améthyste;5;0
60;"Luisa Madrigal";Légendaire;Améthyste;2;1
61;"Flèche Parr";"Super rare";Améthyste;2;1
62;"Luisa Madrigal";Commune;Améthyste;12;2
63;"Programme de réinsertion des Supers";Commune;Améthyste;14;1
64;"Tous derrière toi";"Peu commune";Améthyste;9;0
65;"Ne sois pas si nerveux";Rare;Améthyste;4;0
66;Super-costume;"Peu commune";Améthyste;9;0
67;"Tapisserie familiale de DunBroch";Rare;Améthyste;4;0
68;"Cercle de pierres";Rare;Améthyste;2;0
69;Merida;Commune;Émeraude;14;0
70;"Hamish, Hubert et Harris";Commune;Émeraude;15;0
71;"Le fils MacGuffin";Commune;Émeraude;15;0
72;Rox;Commune;Émeraude;14;2
73;"Helga Sinclair";Commune;Émeraude;15;1
74;"La Sorcière";Commune;Émeraude;15;1
75;"La Reine";Commune;Émeraude;14;1
76;"Buzz l'Éclair";Commune;Émeraude;15;1
77;Karting;Commune;Émeraude;15;2
78;"Seigneur MacGuffin";"Peu commune";Émeraude;10;1
79;Lenny;Rare;Émeraude;5;1
80;"Gaëtan Molière";"Peu commune";Émeraude;9;1
81;"Peter Pan";"Peu commune";Émeraude;10;1
82;"Milo Thatch";"Super rare";Émeraude;4;0
83;Alien;Rare;Émeraude;2;1
84;Donald;"Peu commune";Émeraude;11;0
