card_identifier;name;rarity;magic_ink_colors;got_normal;got_foil
1;"Agustín Madrigal";Commune;Ambre;19;0
2;"Alma Madrigal";Rare;Ambre;4;0
3;Ariel;Rare;Ambre;5;0
4;Cendrillon;Légendaire;Ambre;0;0
5;"Big Ben";Commune;Ambre;16;0
6;Daisy;"Peu commune";Ambre;13;0
7;Daisy;Commune;Ambre;18;3
8;Donald;"Peu commune";Ambre;0;0
9;"Félix Madrigal";"Peu commune";Ambre;10;0
10;Gaston;"Super rare";Ambre;5;0
11;"La Harpe Magique";Rare;Ambre;6;0
12;Dingo;Rare;Ambre;8;2
13;"Julieta Madrigal";"Peu commune";Ambre;14;0
14;Max;Commune;Ambre;15;2
15;"Mickey Mouse";"Peu commune";Ambre;10;0
16;"Mickey Mouse";Légendaire;Ambre;0;0
17;Minnie;"Super rare";Ambre;3;0
18;"Mirabel Madrigal";"Super rare";Ambre;5;0
19;"Mirabel Madrigal";Commune;Ambre;22;2
20;Pluto;Commune;Ambre;19;2
21;"Prince Eric";Commune;Ambre;21;1
22;"Prince Eric";"Peu commune";Ambre;11;0
23;Stitch;Commune;Ambre;18;1
24;Ursula;Rare;Ambre;1;0
25;Ursula;Commune;Ambre;18;1
26;"Retour de Bruno";"Peu commune";Ambre;14;0
27;"Premiers Secours";Commune;Ambre;18;1
28;"On est une Famille";Rare;Ambre;5;0
29;"J'ai perdu le Nord";"Peu commune";Ambre;12;0
30;"Signe le contrat";"Peu commune";Ambre;13;0
31;"La Chandelle du Miracle";Rare;Ambre;4;0
32;"Platine disque";Commune;Ambre;20;2
33;Atlantica;Commune;Ambre;18;0
34;"Les Enfers";Rare;Ambre;5;0
35;"Antonio Madrigal";"Peu commune";Améthyste;12;0
36;Belle;"Super rare";Améthyste;0;0
37;Belle;Commune;Améthyste;16;4
38;"Bruno Madrigal";Rare;Améthyste;7;0
39;"Bruno Madrigal";"Super rare";Améthyste;4;0
40;"Camilo Madrigal";"Peu commune";Améthyste;11;0
41;"Dolores Madrigal";Commune;Améthyste;17;1
42;Elsa;Rare;Améthyste;4;0
43;Flotsam;"Peu commune";Améthyste;11;0
44;"Flotsam & Jetsam";"Peu commune";Améthyste;13;0
45;"Isabela Madrigal";Rare;Améthyste;4;0
46;Jetsam;Commune;Améthyste;19;2
47;"Luisa Madrigal";Commune;Améthyste;18;1
48;"Balais Magiques";Commune;Améthyste;8;0
49;"Balais Magiques";Commune;Améthyste;19;2
