card_identifier;name;rarity;magic_ink_colors;got_normal;got_foil
1;Rhino;Rare;"Ambre, Acier";3;0
2;Perdita;Rare;"Ambre, Saphir";1;0
3;"Le Roi Stéphane";Commune;Ambre;11;1
4;Volt;"Super rare";"Ambre, Acier";2;0
5;"Roger Radcliffe";Commune;Ambre;10;1
6;César;Commune;Ambre;10;2
7;Peg;"Peu commune";"Ambre, Émeraude";8;1
8;Suzy;Commune;Ambre;10;1
9;Mitaine;Rare;Ambre;3;0
10;Clochard;Rare;"Ambre, Émeraude";2;0
11;"Le Troubadour";"Peu commune";"Ambre, Acier";6;0
12;"Wendy Darling";"Peu commune";"Ambre, Rubis";7;0
13;"Mirabel Madrigal";"Peu commune";"Ambre, Améthyste";6;0
14;Aurore;Légendaire;Ambre;0;0
15;Cendrillon;Rare;Ambre;5;0
16;"Mariano Guzmán";Commune;Ambre;11;1
17;"Adèle Machandelle";Commune;Ambre;10;0
18;Volt;Commune;Ambre;11;0
19;Pascal;"Peu commune";"Ambre, Améthyste";6;2
20;"Sa Sucrerie";"Super rare";"Ambre, Rubis";3;2
21;Penny;"Peu commune";"Ambre, Acier";5;2
22;"Félix Fixe Junior";"Peu commune";"Ambre, Rubis";6;0
23;Ouragan;"Peu commune";"Ambre, Saphir";5;0
24;"Le Prince";"Peu commune";Ambre;7;1
25;"Isabela Madrigal";Rare;Ambre;4;0
26;Calhoun;Rare;"Ambre, Rubis";3;0
27;"Ralph la Casse";Rare;Ambre;3;1
28;Lady;"Super rare";"Ambre, Émeraude";5;0
29;Pongo;"Super rare";"Ambre, Saphir";3;0
30;Kinaï;Rare;Ambre;2;1
31;Minnie;Légendaire;Ambre;0;0
32;Perla;"Peu commune";"Ambre, Émeraude";6;0
33;Blanche-Neige;"Peu commune";Ambre;5;0
34;Koda;"Peu commune";Ambre;9;0
35;"Mirabel Madrigal";"Super rare";"Ambre, Améthyste";3;1
36;Calhoun;Commune;Ambre;11;1
37;"Pepa Madrigal";Commune;Ambre;9;1
38;"La vie nous a réunis";Commune;Ambre;9;1
39;"Restituer le Cœur";"Peu commune";"Ambre, Saphir";7;1
40;"La Famille Madrigal";Rare;"Ambre, Améthyste";3;0
41;"Spirale d’ambre";"Peu commune";Ambre;8;3
42;"Plat de spaghetti";Commune;Ambre;11;1
43;"Kanine Krunchies";Commune;Ambre;11;1
44;"La Pantoufle de verre";Rare;Ambre;3;1
45;Kuzco;Rare;Améthyste;4;0
46;Nanaka;Commune;Améthyste;10;0
47;"Le gardien du Trésor";Commune;Améthyste;10;1
48;Honeymaren;Commune;Améthyste;10;1
49;Iago;Rare;Améthyste;4;1
50;Chernabog;Rare;Améthyste;4;1
51;Jafar;"Super rare";"Améthyste, Acier";3;0
52;Hadès;Rare;"Améthyste, Rubis";3;0
53;"Madame Médusa";"Peu commune";"Améthyste, Rubis";7;0
54;"TE KĀ";"Super rare";"Améthyste, Rubis";4;0
55;Elsa;Commune;Améthyste;8;0
56;"Madame Mime";Rare;Améthyste;2;0
57;"Cobra géant";"Peu commune";"Améthyste, Acier";3;0
58;"TE KĀ";Commune;Améthyste;10;1
59;Yzma;Commune;Améthyste;10;0
60;Bucky;Commune;Améthyste;10;1
61;Peine;Commune;Améthyste;10;1
62;Rajah;Commune;Améthyste;11;0
63;Kronk;Rare;"Améthyste, Émeraude";3;0
64;"Mère Gothel";"Peu commune";"Améthyste, Rubis";6;0
65;Sven;"Peu commune";"Améthyste, Saphir";8;0
66;Diablo;"Peu commune";"Améthyste, Émeraude";8;0
67;Merlin;Rare;"Améthyste, Saphir";3;0
68;Yzma;"Super rare";"Améthyste, Émeraude";2;0
69;Elsa;"Super rare";"Améthyste, Saphir";0;0
70;Kinaï;Rare;Améthyste;5;0
71;Kuzco;"Peu commune";"Améthyste, Émeraude";7;1
72;Anna;"Peu commune";"Améthyste, Saphir";5;0
73;Donald;Légendaire;Améthyste;1;0
74;"La Reine";Légendaire;Améthyste;1;0
75;Panique;Commune;Améthyste;9;1
76;Archimède;"Peu commune";Améthyste;7;1
77;Kashekim;"Peu commune";Améthyste;7;0
78;"Dolores Madrigal";Commune;Améthyste;12;1
79;Mufasa;"Peu commune";"Améthyste, Acier";5;0
80;"Manœuvres magiques";"Peu commune";Améthyste;8;1
81;"C'est ma famille";Commune;Améthyste;8;0
82;"Montre-m’en davantage !";"Super rare";Améthyste;1;0
83;"Restaurer la Couronne";Rare;"Améthyste, Acier";4;1
84;"Spirale d’améthyste";"Peu commune";Améthyste;6;0
85;Javotte;Commune;Émeraude;10;1
86;Grewnge;Commune;Émeraude;9;1
87;Baymax;Commune;Émeraude;11;1
88;"Thomas O’Malley";"Peu commune";Émeraude;6;1
89;Pat;Commune;Émeraude;11;1
90;"Hiro Hamada";Commune;Émeraude;9;1
91;"Chat du Cheshire";Commune;Émeraude;10;2
92;"Shere Khan";Rare;Émeraude;3;0
93;Basil;Rare;Émeraude;3;0
94;"Le Chapelier Fou";Rare;"Émeraude, Rubis";4;1
95;"La Reine de Cœur";"Super rare";"Émeraude, Rubis";3;0
96;"Hiro Hamada";"Super rare";"Émeraude, Saphir";4;0
97;Yokai;"Peu commune";"Émeraude, Saphir";5;0
98;Donald;Rare;Émeraude;3;0
99;Berlioz;Commune;Émeraude;11;0
100;Lady;Commune;Émeraude;11;1
101;Yzma;Commune;Émeraude;10;1
102;Pacha;Commune;Émeraude;12;0
103;"Tweedledee et Tweedeldum";"Peu commune";"Émeraude, Rubis";7;0
104;Baymax;"Peu commune";"Émeraude, Saphir";7;1
105;Robotik;"Peu commune";"Émeraude, Acier";8;0
106;Fidget;"Peu commune";"Émeraude, Rubis";7;1
107;"Monsieur Mouche";"Peu commune";"Émeraude, Acier";8;0
108;Daisy;Rare;Émeraude;3;1
109;"John Silver";Rare;"Émeraude, Acier";3;1
110;Clochard;Rare;Émeraude;3;0
111;"Le Roi de Cœur";Rare;Émeraude;4;0
112;Duchesse;"Peu commune";Émeraude;6;0
113;Anastasie;"Peu commune";Émeraude;5;1
114;Pat;"Super rare";"Émeraude, Acier";4;0
115;"Madame de Trémaine";Légendaire;Émeraude;1;0
116;"Réveille-toi, Alice !";Commune;Émeraude;9;1
117;"Il se traîne";Commune;Émeraude;11;1
118;"Le retour d’Hercule";Légendaire;Émeraude;0;0
119;"Geyser d’encre";Rare;"Émeraude, Saphir";3;0
120;"Spirale d’Émeraude";"Peu commune";Émeraude;7;0
121;"Grand-Mère Fa";Commune;Rubis;9;1
122;"La Reine de Cœur";Commune;Rubis;10;2
123;"La Dame marieuse";Commune;Rubis;11;1
124;Denahi;"Peu commune";"Rubis, Acier";5;0
125;"Un frère Stabbington";Commune;Rubis;10;0
126;Belle;"Super rare";"Rubis, Saphir";1;0
127;Cybug;Commune;Rubis;11;1
128;"Un frère Stabbington";Commune;Rubis;10;1
129;"Gardes cartes";Commune;Rubis;9;1
130;"Big Ben";Commune;Rubis;11;0
131;Toby;Commune;Rubis;10;1
132;"Les Rapetou";"Peu commune";"Rubis, Saphir";7;0
133;"Li Shang";"Peu commune";"Rubis, Acier";7;0
134;Vaiana;"Peu commune";Rubis;7;0
135;"Le Fantôme Noir";"Peu commune";Rubis;7;2
136;"La Bête";Rare;"Rubis, Saphir";2;0
137;Mushu;Rare;"Rubis, Acier";0;0
138;Maurice;Rare;Rubis;5;0
139;Dingo;"Super rare";Rubis;4;0
140;"Lyle Tiberius Rourke";Rare;Rubis;4;1
141;Mulan;"Super rare";"Rubis, Acier";0;0
142;Baloo;Légendaire;Rubis;1;0
143;Ratigan;Légendaire;Rubis;0;0
144;"Seigneur Kay";"Peu commune";Rubis;9;0
145;"Milo Thatch";Rare;Rubis;2;0
146;"Edgar Balthazar";Commune;Rubis;10;1
147;"Nous avons de la visite !";Rare;Rubis;3;0
148;"Hors service";Commune;Rubis;11;0
149;"Spirale de Rubis";"Peu commune";Rubis;5;0
150;"Outil inhabituel";Commune;Rubis;10;0
151;"Machine de Maurice";"Peu commune";"Rubis, Saphir";6;0
152;"Le Diamant Œil-du-Diable";Rare;Rubis;4;0
153;Clarabelle;Rare;Saphir;2;0
154;"Balthazar Picsou";Légendaire;Saphir;2;0
155;Mattias;Commune;Saphir;10;1
156;Vaiana;Commune;Saphir;9;0
157;"Monsieur D'Arque";Commune;Saphir;9;0
158;"Gaëtan Molière";"Peu commune";Saphir;8;1
159;Belle;Commune;Saphir;2;0
160;Lucky;Rare;Saphir;3;0
161;Dawson;Rare;Saphir;3;0
162;Tamatoa;Légendaire;Saphir;1;0
163;Heihei;"Peu commune";"Saphir, Acier";6;1
164;Kida;Rare;Saphir;3;0
165;Toulouse;Commune;Saphir;11;1
166;Marie;"Peu commune";Saphir;7;0
167;Pepper;Commune;Saphir;9;1
168;Biscotte;Commune;Saphir;10;1
169;"Honey Lemon";Commune;Saphir;9;1
170;"Robin des Bois";Commune;Saphir;11;1
171;"Penny l'orpheline";Commune;Saphir;9;1
172;"Dame Gertrude";"Peu commune";"Saphir, Acier";6;1
173;Jasmine;Rare;"Saphir, Acier";3;0
174;"Jebidiah Farnsworth";"Peu commune";Saphir;7;1
175;Baymax;Rare;Saphir;3;1
